Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
001;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №1 г.Вельска""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №1 г.Вельска;Вельск;город;;
002;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №2 г.Вельска""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №2 г.Вельска;Вельск;город;;
003;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №3 г. Вельска""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №3 г. Вельска;Вельск;город;;
004;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №4 г.Вельска""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №4 г.Вельска;Вельск;город;;
005;"муниципальное бюджетное образовательное учреждение ""Благовещенская  средняя общеобразовательная школа №5""";МБОУ;СОО;школа;;;Благовещенская  средняя общеобразовательная школа №5;Благовещенское;село;Вельский район;
006;"муниципальное бюджетное образовательное учреждение ""Долматовская средняя общеобразовательная школа №6""";МБОУ;СОО;школа;;;Долматовская средняя общеобразовательная школа №6;Долматово;село;Вельский район;
007;"муниципальное бюджетное образовательное учреждение ""Левковская средняя общеобразовательная школа №7""";МБОУ;СОО;школа;;;Левковская средняя общеобразовательная школа №7;Пасьва;поселок;Вельский район;
009;"муниципальное бюджетное образовательное учреждение ""Усть - Шоношская средняя общеобразовательная школа №16""";МБОУ;СОО;школа;;;Усть - Шоношская средняя общеобразовательная школа №16;Усть-Шоноша;поселок;Вельский район;
010;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №15 п.Кулой""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №15 п.Кулой;Кулой;поселок;Вельский район;
013;"муниципальное бюджетное образовательное учреждение ""Тегринская  средняя общеобразовательная школа №22""";МБОУ;СОО;школа;;;Тегринская  средняя общеобразовательная школа №22;Тегро-Озеро;поселок;Вельский район;
014;"муниципальное бюджетное образовательное учреждение ""Усть - Вельская средняя общеобразовательная школа №23""";МБОУ;СОО;школа;;;Усть-Вельская средняя общеобразовательная школа №23;Горка Муравьевская;деревня;Вельский район;
015;"муниципальное бюджетное образовательное учреждение ""Солгинская средняя общеобразовательная школа №86""";МБОУ;СОО;школа;;;Солгинская средняя общеобразовательная школа №86;Солгинский;поселок;Вельский район;
016;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №90 п.Кулой""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №90 п.Кулой;Кулой;поселок;Вельский район;
