ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
260;1;1;91.0;0;0.0;34;1;91.0;0;0.0
195;25;2;78.0;0;0.0;122;6;75.0;19;79.0
242;35;3;78.0;0;0.0;88;14;76.0;21;80.0
49;1;4;78.0;0;0.0;169;0;0.0;1;78.0
149;1;5;77.0;0;0.0;190;1;77.0;0;0.0
169;1;6;76.0;0;0.0;203;1;76.0;0;0.0
28;1;7;74.0;0;0.0;21;0;0.0;1;74.0
173;1;8;74.0;0;0.0;68;0;0.0;1;74.0
167;2;9;74.0;0;0.0;140;0;0.0;2;74.0
297;20;10;73.0;0;0.0;49;5;78.0;15;72.0
885;1;11;73.0;0;0.0;117;0;0.0;1;73.0
188;1;12;73.0;0;0.0;127;1;73.0;0;0.0
316;4;13;71.0;0;0.0;134;1;66.0;3;73.0
270;6;14;71.0;0;0.0;57;1;66.0;5;72.0
187;1;15;71.0;0;0.0;125;0;0.0;1;71.0
152;2;16;71.0;0;0.0;156;0;0.0;2;71.0
281;15;17;70.0;2;13.0;218;4;75.0;11;69.0
305;12;18;70.0;1;8.0;208;5;59.0;7;78.0
133;8;19;70.0;0;0.0;8;1;72.0;7;70.0
315;9;20;70.0;0;0.0;55;2;73.0;7;69.0
241;13;21;69.0;0;0.0;86;0;0.0;13;69.0
309;13;22;69.0;0;0.0;75;5;72.0;8;67.0
158;5;23;69.0;0;0.0;159;1;69.0;4;69.0
47;1;24;69.0;0;0.0;201;0;0.0;1;69.0
287;7;25;69.0;0;0.0;29;1;68.0;6;69.0
24;3;26;69.0;0;0.0;15;0;0.0;3;69.0
212;2;27;69.0;0;0.0;3;0;0.0;2;69.0
192;10;28;68.0;0;0.0;133;3;72.0;7;66.0
159;10;29;68.0;0;0.0;158;0;0.0;10;68.0
278;12;30;67.0;0;0.0;62;4;61.0;8;70.0
256;10;31;67.0;0;0.0;114;3;64.0;7;68.0
13;1;32;67.0;0;0.0;145;0;0.0;1;67.0
314;5;33;67.0;0;0.0;56;2;52.0;3;77.0
1;8;34;67.0;0;0.0;178;1;68.0;7;66.0
90;5;35;67.0;0;0.0;162;0;0.0;5;67.0
117;6;36;66.0;0;0.0;58;1;71.0;5;65.0
190;6;37;66.0;0;0.0;54;1;76.0;5;64.0
95;1;38;66.0;0;0.0;13;0;0.0;1;66.0
97;4;39;66.0;0;0.0;25;2;74.0;2;59.0
398;1;40;66.0;0;0.0;63;0;0.0;1;66.0
84;2;41;66.0;0;0.0;66;0;0.0;2;66.0
48;2;42;66.0;0;0.0;168;0;0.0;2;66.0
37;2;43;66.0;0;0.0;98;0;0.0;2;66.0
284;3;44;65.0;0;0.0;28;2;72.0;1;52.0
30;1;45;65.0;0;0.0;97;0;0.0;1;65.0
261;1;46;65.0;0;0.0;198;0;0.0;1;65.0
198;4;47;65.0;0;0.0;116;1;86.0;3;58.0
3;7;48;65.0;0;0.0;70;4;68.0;3;60.0
61;2;49;65.0;0;0.0;105;1;78.0;1;51.0
415;3;50;64.0;0;0.0;46;1;72.0;2;61.0
203;6;51;64.0;0;0.0;183;4;65.0;2;63.0
81;6;52;64.0;0;0.0;166;0;0.0;6;64.0
94;4;53;64.0;0;0.0;142;0;0.0;4;64.0
207;6;54;64.0;0;0.0;187;0;0.0;6;64.0
118;4;55;63.0;0;0.0;65;3;62.0;1;66.0
7;2;56;63.0;0;0.0;72;1;44.0;1;82.0
39;2;57;63.0;0;0.0;93;0;0.0;2;63.0
21;8;58;63.0;1;13.0;215;2;58.0;6;65.0
