ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
311;1;198;26.0;1;100.0;193;0;0.0;1;26.0
121;1;197;26.0;1;100.0;192;0;0.0;1;26.0
229;1;196;29.0;1;100.0;198;0;0.0;1;29.0
65;1;195;29.0;1;100.0;197;1;29.0;0;0.0
386;1;194;29.0;1;100.0;196;0;0.0;1;29.0
362;1;193;29.0;1;100.0;194;1;29.0;0;0.0
361;1;192;31.0;1;100.0;195;1;31.0;0;0.0
388;3;191;31.0;2;67.0;189;1;34.0;2;30.0
377;4;190;33.0;3;75.0;190;2;39.0;2;27.0
214;1;189;34.0;1;100.0;191;0;0.0;1;34.0
380;2;188;35.0;1;50.0;186;1;34.0;1;36.0
177;2;187;38.0;0;0.0;95;0;0.0;2;38.0
148;2;186;39.0;0;0.0;163;0;0.0;2;39.0
263;2;185;40.0;0;0.0;27;1;43.0;1;36.0
409;1;184;40.0;0;0.0;132;0;0.0;1;40.0
69;1;183;40.0;0;0.0;33;0;0.0;1;40.0
172;1;182;41.0;0;0.0;105;0;0.0;1;41.0
300;2;181;41.0;1;50.0;185;0;0.0;2;41.0
398;1;180;41.0;0;0.0;66;0;0.0;1;41.0
381;15;179;41.0;4;27.0;183;3;52.0;12;38.0
22;2;178;42.0;0;0.0;15;0;0.0;2;42.0
70;2;177;42.0;0;0.0;168;0;0.0;2;42.0
45;1;176;42.0;0;0.0;149;0;0.0;1;42.0
194;1;175;42.0;0;0.0;51;1;42.0;0;0.0
417;1;174;44.0;0;0.0;39;0;0.0;1;44.0
225;4;173;44.0;1;25.0;180;0;0.0;4;44.0
79;3;172;45.0;0;0.0;169;0;0.0;3;45.0
206;1;171;45.0;0;0.0;160;1;45.0;0;0.0
39;1;170;45.0;0;0.0;90;0;0.0;1;45.0
51;1;169;45.0;0;0.0;35;1;45.0;0;0.0
102;2;168;46.0;0;0.0;86;0;0.0;2;46.0
153;1;167;46.0;0;0.0;133;0;0.0;1;46.0
274;2;166;46.0;1;50.0;188;1;66.0;1;26.0
178;1;165;46.0;0;0.0;6;0;0.0;1;46.0
33;5;164;47.0;0;0.0;92;3;52.0;2;41.0
38;1;163;48.0;0;0.0;91;0;0.0;1;48.0
234;1;162;49.0;0;0.0;140;1;49.0;0;0.0
89;1;161;49.0;0;0.0;131;0;0.0;1;49.0
283;4;160;49.0;1;25.0;179;2;51.0;2;48.0
320;1;159;50.0;0;0.0;152;0;0.0;1;50.0
98;1;158;50.0;0;0.0;118;1;50.0;0;0.0
202;5;157;51.0;0;0.0;156;1;37.0;4;54.0
96;4;156;52.0;0;0.0;23;0;0.0;4;52.0
140;4;155;52.0;0;0.0;159;1;38.0;3;57.0
248;2;154;52.0;1;50.0;187;2;52.0;0;0.0
95;1;153;52.0;0;0.0;16;0;0.0;1;52.0
226;1;152;53.0;0;0.0;72;0;0.0;1;53.0
14;4;151;53.0;1;25.0;182;2;43.0;2;64.0
104;4;150;53.0;0;0.0;89;1;40.0;3;58.0
231;2;149;54.0;0;0.0;144;0;0.0;2;54.0
46;3;148;54.0;0;0.0;147;0;0.0;3;54.0
269;2;147;54.0;0;0.0;32;2;54.0;0;0.0
122;1;146;54.0;0;0.0;28;0;0.0;1;54.0
152;2;145;55.0;0;0.0;134;0;0.0;2;55.0
108;2;144;55.0;0;0.0;94;1;53.0;1;56.0
201;5;143;55.0;1;20.0;178;3;51.0;2;60.0
2;3;142;55.0;0;0.0;110;0;0.0;3;55.0
75;1;141;55.0;0;0.0;166;0;0.0;1;55.0
15;1;140;55.0;0;0.0;126;0;0.0;1;55.0
176;1;139;55.0;0;0.0;64;1;55.0;0;0.0
276;1;138;55.0;0;0.0;63;0;0.0;1;55.0
275;5;137;55.0;0;0.0;62;4;57.0;1;48.0
199;4;136;55.0;0;0.0;48;2;48.0;2;63.0
293;4;135;55.0;0;0.0;46;1;55.0;3;55.0
222;3;134;55.0;0;0.0;124;1;68.0;2;49.0
41;3;133;56.0;0;0.0;150;0;0.0;3;56.0
189;12;132;56.0;2;17.0;175;3;43.0;9;60.0
187;1;131;56.0;0;0.0;112;0;0.0;1;56.0
186;3;130;56.0;0;0.0;111;0;0.0;3;56.0
166;1;129;56.0;0;0.0;10;0;0.0;1;56.0
216;3;128;56.0;0;0.0;1;2;54.0;1;62.0
24;2;127;57.0;0;0.0;11;0;0.0;2;57.0
209;1;126;57.0;0;0.0;161;0;0.0;1;57.0
205;2;125;57.0;0;0.0;157;1;62.0;1;52.0
200;7;124;57.0;0;0.0;154;1;39.0;6;60.0
183;2;123;57.0;0;0.0;108;0;0.0;2;57.0
273;2;122;57.0;0;0.0;60;1;47.0;1;67.0
291;2;121;57.0;0;0.0;47;1;71.0;1;43.0
134;1;120;57.0;0;0.0;9;0;0.0;1;57.0
219;3;119;57.0;1;33.0;184;0;0.0;3;57.0
224;2;118;58.0;0;0.0;93;0;0.0;2;58.0
292;3;117;58.0;0;0.0;45;0;0.0;3;58.0
9;1;116;58.0;0;0.0;153;0;0.0;1;58.0
240;5;115;58.0;1;20.0;177;1;66.0;4;56.0
294;5;114;58.0;0;0.0;43;0;0.0;5;58.0
94;1;113;58.0;0;0.0;20;0;0.0;1;58.0
48;2;112;59.0;0;0.0;146;0;0.0;2;59.0
207;2;111;59.0;0;0.0;70;0;0.0;2;59.0
252;3;110;59.0;0;0.0;101;1;92.0;2;42.0
223;2;109;59.0;0;0.0;123;1;62.0;1;56.0
119;1;108;59.0;0;0.0;67;0;0.0;1;59.0
20;3;107;59.0;0;0.0;13;0;0.0;3;59.0
210;5;106;59.0;1;20.0;176;2;68.0;3;54.0
228;2;105;60.0;0;0.0;120;0;0.0;2;60.0
298;4;104;60.0;0;0.0;40;1;69.0;3;56.0
157;3;103;60.0;0;0.0;135;1;71.0;2;55.0
107;3;102;60.0;0;0.0;88;0;0.0;3;60.0
111;8;101;60.0;0;0.0;61;0;0.0;8;60.0
190;7;100;60.0;0;0.0;54;2;67.0;5;58.0
267;8;99;61.0;0;0.0;172;1;37.0;7;64.0
213;6;98;61.0;1;17.0;174;2;66.0;4;58.0
156;1;97;61.0;0;0.0;136;0;0.0;1;61.0
246;1;96;61.0;0;0.0;83;0;0.0;1;61.0
