ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
33;1;109;17.0;1;100.0;109;0;0.0;1;17.0
182;1;108;24.0;0;0.0;73;0;0.0;1;24.0
214;1;107;28.0;0;0.0;3;0;0.0;1;28.0
248;3;106;31.0;0;0.0;72;2;23.0;1;48.0
97;1;105;34.0;0;0.0;81;1;34.0;0;0.0
381;10;104;36.0;1;10.0;107;4;36.0;6;37.0
48;1;103;37.0;0;0.0;93;0;0.0;1;37.0
304;1;102;38.0;0;0.0;53;1;38.0;0;0.0
54;4;101;39.0;0;0.0;27;1;33.0;3;41.0
134;1;100;39.0;0;0.0;9;0;0.0;1;39.0
308;2;99;40.0;0;0.0;49;1;48.0;1;32.0
21;2;98;42.0;0;0.0;11;0;0.0;2;42.0
388;3;97;42.0;1;33.0;108;1;12.0;2;57.0
1;1;96;43.0;0;0.0;97;1;43.0;0;0.0
271;1;95;43.0;0;0.0;41;0;0.0;1;43.0
43;1;94;44.0;0;0.0;95;0;0.0;1;44.0
107;2;93;48.0;0;0.0;60;0;0.0;2;48.0
145;1;92;49.0;0;0.0;102;0;0.0;1;49.0
122;1;91;49.0;0;0.0;21;0;0.0;1;49.0
53;4;90;50.0;0;0.0;28;3;48.0;1;54.0
104;3;89;50.0;0;0.0;61;0;0.0;3;50.0
257;1;88;50.0;0;0.0;69;0;0.0;1;50.0
246;3;87;50.0;0;0.0;58;2;40.0;1;72.0
140;3;86;50.0;0;0.0;47;2;44.0;1;64.0
3;5;85;51.0;0;0.0;48;3;53.0;2;49.0
202;8;84;51.0;0;0.0;42;3;59.0;5;47.0
210;7;83;52.0;0;0.0;6;3;55.0;4;50.0
253;1;82;52.0;0;0.0;67;0;0.0;1;52.0
275;4;81;52.0;0;0.0;44;3;48.0;1;65.0
44;1;80;53.0;0;0.0;94;0;0.0;1;53.0
259;2;79;54.0;0;0.0;65;0;0.0;2;54.0
19;1;78;55.0;0;0.0;85;0;0.0;1;55.0
252;2;77;55.0;0;0.0;66;0;0.0;2;55.0
279;1;76;55.0;0;0.0;46;1;55.0;0;0.0
159;3;75;56.0;0;0.0;89;1;60.0;2;54.0
357;1;74;57.0;0;0.0;105;1;57.0;0;0.0
200;2;73;57.0;0;0.0;100;0;0.0;2;57.0
316;1;72;57.0;0;0.0;37;0;0.0;1;57.0
268;1;71;57.0;0;0.0;26;0;0.0;1;57.0
