ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
381;1;11;27.0;0;0.0;6;0;0.0;1;27.0
178;1;10;34.0;0;0.0;4;0;0.0;1;34.0
201;5;9;37.0;0;0.0;1;3;40.0;2;31.0
124;1;8;37.0;0;0.0;7;0;0.0;1;37.0
200;4;7;38.0;0;0.0;2;0;0.0;4;38.0
96;1;6;40.0;0;0.0;11;1;40.0;0;0.0
219;1;5;45.0;0;0.0;5;0;0.0;1;45.0
275;1;4;62.0;0;0.0;8;1;62.0;0;0.0
153;1;3;65.0;0;0.0;3;0;0.0;1;65.0
242;2;2;67.0;0;0.0;9;0;0.0;2;67.0
287;1;1;69.0;0;0.0;10;0;0.0;1;69.0
