ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
268;1;1;86.0;0;0.0;34;0;0.0;1;86.0
211;2;2;84.0;0;0.0;5;0;0.0;2;84.0
255;6;3;81.0;0;0.0;107;2;82.0;4;81.0
119;1;4;79.0;0;0.0;142;1;79.0;0;0.0
242;18;5;75.0;0;0.0;85;3;67.0;15;76.0
122;4;6;74.0;0;0.0;29;1;67.0;3;77.0
195;19;7;74.0;0;0.0;52;12;70.0;7;81.0
90;1;8;72.0;0;0.0;123;0;0.0;1;72.0
139;1;9;71.0;0;0.0;10;1;71.0;0;0.0
117;1;10;71.0;0;0.0;59;0;0.0;1;71.0
167;12;11;70.0;0;0.0;124;5;62.0;7;76.0
292;1;12;70.0;0;0.0;47;0;0.0;1;70.0
287;18;13;70.0;0;0.0;25;2;55.0;16;72.0
166;1;14;69.0;0;0.0;11;0;0.0;1;69.0
313;5;15;69.0;0;0.0;110;1;68.0;4;69.0
220;17;16;68.0;0;0.0;125;4;72.0;13;67.0
264;3;17;67.0;0;0.0;33;1;60.0;2;71.0
74;2;18;67.0;0;0.0;158;0;0.0;2;67.0
79;3;19;67.0;0;0.0;159;0;0.0;3;67.0
295;13;20;66.0;1;8.0;165;3;63.0;10;67.0
159;5;21;66.0;0;0.0;136;0;0.0;5;66.0
203;20;22;65.0;0;0.0;151;5;67.0;15;65.0
35;2;23;65.0;0;0.0;94;0;0.0;2;65.0
192;21;24;64.0;1;5.0;164;5;65.0;16;64.0
297;8;25;64.0;0;0.0;45;2;70.0;6;63.0
301;4;26;64.0;0;0.0;75;0;0.0;4;64.0
216;4;27;64.0;0;0.0;1;1;64.0;3;64.0
190;5;28;63.0;0;0.0;117;3;52.0;2;81.0
62;2;29;63.0;0;0.0;99;0;0.0;2;63.0
256;5;30;63.0;1;20.0;184;2;61.0;3;64.0
261;2;31;63.0;0;0.0;161;2;63.0;0;0.0
44;5;32;62.0;0;0.0;143;1;84.0;4;57.0
152;1;33;62.0;0;0.0;133;1;62.0;0;0.0
306;3;34;62.0;0;0.0;80;2;65.0;1;56.0
266;3;35;61.0;0;0.0;32;1;68.0;2;58.0
146;3;36;61.0;0;0.0;50;1;67.0;2;58.0
271;3;37;61.0;0;0.0;98;1;91.0;2;46.0
158;3;38;61.0;0;0.0;137;2;50.0;1;82.0
254;6;39;61.0;1;17.0;179;2;63.0;4;60.0
131;1;40;60.0;0;0.0;8;1;60.0;0;0.0
188;4;41;60.0;0;0.0;115;1;56.0;3;61.0
14;1;42;60.0;0;0.0;128;0;0.0;1;60.0
94;2;43;60.0;0;0.0;19;0;0.0;2;60.0
197;2;44;60.0;0;0.0;53;1;68.0;1;51.0
66;2;45;60.0;0;0.0;102;0;0.0;2;60.0
21;8;46;59.0;0;0.0;16;0;0.0;8;59.0
305;9;47;59.0;0;0.0;79;5;56.0;4;61.0
137;2;48;59.0;0;0.0;9;0;0.0;2;59.0
300;2;49;59.0;0;0.0;74;2;59.0;0;0.0
101;2;50;59.0;0;0.0;87;1;60.0;1;57.0
230;4;51;58.0;0;0.0;139;0;0.0;4;58.0
303;8;52;58.0;0;0.0;77;1;47.0;7;60.0
65;1;53;58.0;0;0.0;101;0;0.0;1;58.0
315;5;54;58.0;0;0.0;120;1;89.0;4;50.0
198;11;55;58.0;1;9.0;171;4;58.0;7;58.0
169;4;56;58.0;0;0.0;163;3;54.0;1;68.0
267;8;57;57.0;0;0.0;31;1;48.0;7;59.0
76;6;58;57.0;0;0.0;157;2;63.0;4;55.0
289;9;59;57.0;0;0.0;20;2;51.0;7;59.0
95;1;60;57.0;0;0.0;17;0;0.0;1;57.0
286;2;61;57.0;0;0.0;26;1;58.0;1;56.0
260;3;62;57.0;0;0.0;30;1;38.0;2;67.0
180;1;63;57.0;0;0.0;109;1;57.0;0;0.0
202;12;64;57.0;0;0.0;152;5;58.0;7;56.0
10;8;65;57.0;0;0.0;27;2;56.0;6;57.0
189;13;66;56.0;1;8.0;166;5;52.0;8;59.0
281;20;67;56.0;0;0.0;22;4;49.0;16;58.0
299;1;68;56.0;0;0.0;43;0;0.0;1;56.0
