ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
357;1;1;94.0;0;0.0;122;1;94.0;0;0.0
273;1;2;91.0;0;0.0;44;1;91.0;0;0.0
221;1;3;91.0;0;0.0;96;1;91.0;0;0.0
195;5;4;84.0;0;0.0;35;2;84.0;3;85.0
223;1;5;84.0;0;0.0;94;1;84.0;0;0.0
260;5;6;81.0;0;0.0;22;4;79.0;1;91.0
204;1;7;80.0;0;0.0;116;1;80.0;0;0.0
297;27;8;80.0;0;0.0;29;20;81.0;7;76.0
44;1;9;78.0;0;0.0;111;1;78.0;0;0.0
105;2;10;78.0;0;0.0;67;1;71.0;1;84.0
303;3;11;77.0;0;0.0;58;3;77.0;0;0.0
242;27;12;76.0;0;0.0;65;14;76.0;13;75.0
207;5;13;76.0;0;0.0;52;4;76.0;1;73.0
309;7;14;75.0;0;0.0;55;7;75.0;0;0.0
191;1;15;75.0;0;0.0;37;1;75.0;0;0.0
192;6;16;75.0;0;0.0;40;4;72.0;2;81.0
3;1;17;75.0;0;0.0;53;0;0.0;1;75.0
46;1;18;75.0;0;0.0;110;1;75.0;0;0.0
259;6;19;75.0;0;0.0;73;6;75.0;0;0.0
254;2;20;75.0;0;0.0;81;1;68.0;1;81.0
267;2;21;74.0;0;0.0;23;2;74.0;0;0.0
202;1;22;73.0;0;0.0;88;0;0.0;1;73.0
277;1;23;73.0;0;0.0;105;1;73.0;0;0.0
235;1;24;73.0;0;0.0;107;1;73.0;0;0.0
299;2;25;73.0;0;0.0;27;2;73.0;0;0.0
206;11;26;72.0;0;0.0;118;7;75.0;4;68.0
246;2;27;72.0;0;0.0;63;1;65.0;1;78.0
220;7;28;71.0;0;0.0;97;3;78.0;4;67.0
120;9;29;71.0;0;0.0;20;4;71.0;5;70.0
300;1;30;70.0;0;0.0;56;0;0.0;1;70.0
281;6;31;69.0;0;0.0;15;4;67.0;2;73.0
186;2;32;69.0;0;0.0;86;2;69.0;0;0.0
68;3;33;68.0;0;0.0;42;2;62.0;1;81.0
278;2;34;68.0;0;0.0;49;2;68.0;0;0.0
19;1;35;68.0;0;0.0;101;1;68.0;0;0.0
61;2;36;68.0;0;0.0;71;1;67.0;1;68.0
256;11;37;67.0;0;0.0;79;7;68.0;4;67.0
316;3;38;66.0;0;0.0;90;3;66.0;0;0.0
305;6;39;66.0;0;0.0;59;4;60.0;2;80.0
208;4;40;66.0;0;0.0;119;4;66.0;0;0.0
212;4;41;65.0;0;0.0;4;3;60.0;1;81.0
79;5;42;65.0;0;0.0;121;2;55.0;3;72.0
295;5;43;65.0;0;0.0;30;5;65.0;0;0.0
81;2;44;64.0;0;0.0;50;1;68.0;1;60.0
203;3;45;64.0;0;0.0;114;3;64.0;0;0.0
29;2;46;64.0;0;0.0;13;2;64.0;0;0.0
291;7;47;63.0;0;0.0;32;3;59.0;4;67.0
230;5;48;63.0;0;0.0;109;5;63.0;0;0.0
210;7;49;63.0;0;0.0;6;4;67.0;3;58.0
190;1;50;63.0;0;0.0;38;0;0.0;1;63.0
302;2;51;63.0;0;0.0;57;2;63.0;0;0.0
54;4;52;62.0;0;0.0;25;2;57.0;2;68.0
108;1;53;62.0;0;0.0;62;1;62.0;0;0.0
313;2;54;62.0;0;0.0;84;2;62.0;0;0.0
252;7;55;62.0;0;0.0;77;7;62.0;0;0.0
283;2;56;62.0;0;0.0;16;1;68.0;1;55.0
159;2;57;62.0;0;0.0;103;1;60.0;1;63.0
180;4;58;61.0;0;0.0;85;3;59.0;1;67.0
41;6;59;61.0;0;0.0;112;5;59.0;1;71.0
275;2;60;60.0;0;0.0;46;1;50.0;1;70.0
62;1;61;60.0;0;0.0;72;1;60.0;0;0.0
174;1;62;60.0;0;0.0;78;0;0.0;1;60.0
255;3;63;60.0;0;0.0;82;3;60.0;0;0.0
270;1;64;60.0;0;0.0;98;1;60.0;0;0.0
156;1;65;60.0;0;0.0;102;0;0.0;1;60.0
147;1;66;60.0;0;0.0;113;1;60.0;0;0.0
216;6;67;60.0;0;0.0;1;4;65.0;2;49.0
96;5;68;60.0;0;0.0;17;1;80.0;4;55.0
222;4;69;60.0;0;0.0;95;1;54.0;3;61.0
201;5;70;59.0;1;20.0;127;3;68.0;2;46.0
4;3;71;59.0;0;0.0;14;3;59.0;0;0.0
134;2;72;59.0;0;0.0;8;0;0.0;2;59.0
70;2;73;59.0;0;0.0;120;1;55.0;1;62.0
199;4;74;58.0;0;0.0;33;3;56.0;1;63.0
165;1;75;58.0;0;0.0;92;1;58.0;0;0.0
314;1;76;58.0;0;0.0;93;1;58.0;0;0.0
140;4;77;58.0;0;0.0;117;3;56.0;1;63.0
33;3;78;58.0;0;0.0;69;1;62.0;2;56.0
198;5;79;57.0;0;0.0;34;4;62.0;1;40.0
271;5;80;57.0;0;0.0;100;4;61.0;1;42.0
251;3;81;57.0;0;0.0;51;2;63.0;1;47.0
75;10;82;57.0;1;10.0;124;4;70.0;6;49.0
264;2;83;57.0;0;0.0;24;2;57.0;0;0.0
296;1;84;57.0;0;0.0;28;1;57.0;0;0.0
117;1;85;57.0;0;0.0;43;1;57.0;0;0.0
158;1;86;57.0;0;0.0;104;1;57.0;0;0.0
60;8;87;57.0;0;0.0;70;8;57.0;0;0.0
104;3;88;57.0;0;0.0;66;2;63.0;1;45.0
306;3;89;56.0;0;0.0;60;0;0.0;3;56.0
286;4;90;55.0;0;0.0;19;3;59.0;1;44.0
284;1;91;55.0;0;0.0;18;1;55.0;0;0.0
17;1;92;55.0;0;0.0;99;1;55.0;0;0.0
124;1;93;55.0;0;0.0;123;1;55.0;0;0.0
215;5;94;54.0;0;0.0;3;5;54.0;0;0.0
214;1;95;54.0;0;0.0;2;1;54.0;0;0.0
196;1;96;54.0;0;0.0;36;0;0.0;1;54.0
240;1;97;54.0;0;0.0;64;0;0.0;1;54.0
317;1;98;54.0;0;0.0;89;1;54.0;0;0.0
307;3;99;54.0;0;0.0;61;2;61.0;1;40.0
53;9;100;53.0;1;11.0;125;8;53.0;1;58.0
111;3;101;53.0;1;33.0;132;3;53.0;0;0.0
315;3;102;53.0;0;0.0;39;3;53.0;0;0.0
236;2;103;53.0;0;0.0;108;2;53.0;0;0.0
26;1;104;52.0;0;0.0;9;1;52.0;0;0.0
362;1;105;52.0;0;0.0;54;1;52.0;0;0.0
65;1;106;52.0;0;0.0;75;1;52.0;0;0.0
66;1;107;52.0;0;0.0;76;1;52.0;0;0.0
253;1;108;52.0;0;0.0;83;0;0.0;1;52.0
381;13;109;52.0;2;15.0;126;9;44.0;4;69.0
