ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
500;2;1;75.0;0;0.0;137;2;75.0;0;0.0
49;1;2;72.0;0;0.0;172;0;0.0;1;72.0
241;6;3;71.0;0;0.0;95;3;72.0;3;71.0
268;1;4;69.0;0;0.0;76;0;0.0;1;69.0
90;3;5;69.0;0;0.0;167;0;0.0;3;69.0
103;3;6;69.0;0;0.0;99;1;68.0;2;69.0
195;42;7;69.0;0;0.0;64;20;69.0;22;68.0
274;9;8;68.0;0;0.0;158;2;61.0;7;70.0
203;26;9;68.0;0;0.0;187;8;67.0;18;68.0
59;1;10;68.0;0;0.0;46;1;68.0;0;0.0
220;25;11;68.0;0;0.0;31;7;67.0;18;68.0
230;13;12;67.0;0;0.0;170;3;65.0;10;68.0
242;46;13;67.0;0;0.0;97;13;63.0;33;69.0
190;10;14;67.0;0;0.0;141;3;73.0;7;65.0
131;3;15;66.0;0;0.0;11;1;67.0;2;66.0
295;32;16;66.0;0;0.0;59;12;58.0;20;71.0
287;42;17;66.0;0;0.0;157;8;62.0;34;67.0
165;8;18;66.0;0;0.0;75;4;64.0;4;68.0
198;27;19;66.0;0;0.0;63;9;62.0;18;68.0
247;5;20;65.0;0;0.0;93;1;71.0;4;64.0
94;3;21;65.0;0;0.0;27;0;0.0;3;65.0
309;24;22;65.0;0;0.0;85;5;58.0;19;67.0
207;20;23;65.0;0;0.0;191;5;67.0;15;64.0
216;8;24;64.0;0;0.0;1;3;61.0;5;66.0
96;14;25;64.0;0;0.0;202;3;57.0;11;66.0
297;40;26;64.0;0;0.0;57;14;63.0;26;65.0
255;19;27;64.0;0;0.0;124;4;63.0;15;64.0
281;20;28;63.0;0;0.0;30;5;60.0;15;65.0
56;3;29;63.0;0;0.0;51;2;68.0;1;53.0
81;3;30;63.0;0;0.0;73;0;0.0;3;63.0
101;2;31;63.0;0;0.0;101;0;0.0;2;63.0
289;31;32;63.0;0;0.0;28;5;64.0;26;63.0
189;28;33;63.0;0;0.0;135;9;63.0;19;63.0
301;17;34;63.0;0;0.0;87;2;47.0;15;65.0
267;28;35;63.0;0;0.0;39;3;60.0;25;63.0
21;13;36;63.0;0;0.0;21;2;55.0;11;64.0
279;11;37;62.0;0;0.0;72;0;0.0;11;62.0
79;9;38;62.0;0;0.0;203;1;60.0;8;62.0
180;9;39;62.0;0;0.0;130;3;59.0;6;64.0
46;1;40;62.0;0;0.0;173;0;0.0;1;62.0
75;5;41;62.0;0;0.0;197;1;68.0;4;61.0
192;53;42;62.0;0;0.0;66;27;61.0;26;63.0
167;23;43;62.0;0;0.0;100;11;58.0;12;65.0
293;12;44;62.0;0;0.0;60;5;56.0;7;66.0
264;15;45;62.0;0;0.0;41;5;59.0;10;63.0
146;4;46;62.0;0;0.0;61;1;65.0;3;60.0
256;29;47;61.0;1;3.0;209;11;57.0;18;64.0
226;8;48;61.0;0;0.0;147;1;62.0;7;61.0
117;3;49;61.0;0;0.0;155;0;0.0;3;61.0
415;14;50;61.0;0;0.0;53;4;56.0;10;63.0
169;13;51;61.0;0;0.0;206;5;56.0;8;64.0
201;52;52;61.0;0;0.0;185;22;62.0;30;60.0
196;31;53;61.0;0;0.0;65;9;63.0;22;60.0
78;2;54;61.0;0;0.0;204;0;0.0;2;61.0
275;25;55;61.0;1;4.0;213;9;57.0;16;63.0
173;4;56;61.0;0;0.0;77;0;0.0;4;61.0
299;23;57;61.0;0;0.0;56;9;60.0;14;61.0
37;7;58;61.0;0;0.0;108;1;63.0;6;60.0
313;13;59;61.0;1;8.0;230;3;57.0;10;62.0
270;19;60;61.0;0;0.0;150;11;60.0;8;62.0
260;12;61;61.0;0;0.0;38;5;56.0;7;64.0
1;18;62;61.0;0;0.0;180;4;55.0;14;62.0
5;4;63;61.0;0;0.0;182;3;61.0;1;58.0
206;29;64;60.0;1;3.0;211;5;63.0;24;60.0
159;17;65;60.0;0;0.0;164;4;54.0;13;62.0
44;12;66;60.0;1;8.0;234;3;54.0;9;63.0
157;6;67;60.0;0;0.0;162;1;45.0;5;63.0
84;6;68;60.0;0;0.0;183;2;57.0;4;62.0
315;18;69;60.0;0;0.0;144;7;59.0;11;61.0
43;1;70;60.0;0;0.0;177;0;0.0;1;60.0
199;14;71;60.0;0;0.0;62;1;68.0;13;59.0
168;4;72;60.0;0;0.0;143;0;0.0;4;60.0
188;5;73;59.0;0;0.0;134;1;59.0;4;60.0
124;9;74;59.0;0;0.0;205;3;59.0;6;59.0
10;19;75;59.0;0;0.0;34;7;54.0;12;62.0
114;13;76;59.0;0;0.0;112;1;50.0;12;60.0
306;14;77;59.0;0;0.0;90;9;58.0;5;61.0
135;8;78;59.0;0;0.0;13;1;55.0;7;60.0
61;1;79;59.0;0;0.0;48;0;0.0;1;59.0
246;7;80;59.0;0;0.0;111;7;59.0;0;0.0
202;34;81;59.0;0;0.0;188;15;59.0;19;59.0
235;19;82;59.0;1;5.0;220;7;53.0;12;62.0
200;19;83;59.0;0;0.0;186;8;57.0;11;60.0
74;6;84;59.0;0;0.0;198;2;59.0;4;59.0
62;9;85;59.0;0;0.0;116;2;53.0;7;60.0
158;6;86;59.0;0;0.0;165;3;61.0;3;56.0
211;11;87;59.0;0;0.0;6;3;54.0;8;61.0
224;19;88;59.0;0;0.0;19;6;57.0;13;59.0
42;7;89;58.0;0;0.0;176;3;62.0;4;56.0
222;36;90;58.0;0;0.0;149;14;58.0;22;59.0
254;34;91;58.0;0;0.0;123;12;57.0;22;59.0
210;49;92;58.0;0;0.0;5;16;59.0;33;58.0
3;24;93;58.0;0;0.0;78;12;56.0;12;61.0
134;19;94;58.0;0;0.0;14;10;54.0;9;63.0
119;5;95;58.0;0;0.0;174;4;57.0;1;63.0
271;19;96;58.0;0;0.0;68;5;57.0;14;58.0
