ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
122;1;1;81.0;0;0.0;148;0;0.0;1;81.0
195;18;2;74.0;0;0.0;45;6;70.0;12;76.0
417;1;3;73.0;0;0.0;58;1;73.0;0;0.0
297;66;4;72.0;1;2.0;152;43;72.0;23;74.0
242;55;5;72.0;0;0.0;69;36;69.0;19;76.0
95;2;6;72.0;0;0.0;8;2;72.0;0;0.0
309;40;7;69.0;0;0.0;62;25;71.0;15;65.0
5;6;8;68.0;0;0.0;132;6;68.0;0;0.0
20;1;9;67.0;0;0.0;14;1;67.0;0;0.0
192;15;10;67.0;0;0.0;46;12;66.0;3;71.0
284;5;11;67.0;0;0.0;23;4;70.0;1;53.0
146;3;12;66.0;0;0.0;41;3;66.0;0;0.0
315;11;13;65.0;0;0.0;105;10;64.0;1;71.0
241;9;14;65.0;0;0.0;67;9;65.0;0;0.0
94;3;15;64.0;0;0.0;20;1;53.0;2;69.0
81;5;16;63.0;0;0.0;53;4;64.0;1;59.0
62;2;17;63.0;0;0.0;84;2;63.0;0;0.0
119;1;18;62.0;0;0.0;125;1;62.0;0;0.0
253;7;19;61.0;1;14.0;182;3;50.0;4;70.0
256;12;20;61.0;0;0.0;90;8;59.0;4;66.0
204;15;21;61.0;0;0.0;137;11;63.0;4;56.0
203;11;22;61.0;0;0.0;134;10;62.0;1;45.0
139;4;23;61.0;0;0.0;9;3;65.0;1;46.0
190;5;24;60.0;0;0.0;101;2;55.0;3;64.0
281;13;25;60.0;0;0.0;21;9;64.0;4;52.0
260;13;26;60.0;0;0.0;24;9;57.0;4;65.0
98;7;27;60.0;0;0.0;102;1;46.0;6;62.0
4;16;28;60.0;1;6.0;158;13;59.0;3;63.0
220;24;29;59.0;0;0.0;22;19;60.0;5;59.0
71;1;30;59.0;0;0.0;144;0;0.0;1;59.0
255;9;31;59.0;0;0.0;91;7;59.0;2;60.0
39;1;32;58.0;0;0.0;73;0;0.0;1;58.0
156;2;33;58.0;1;50.0;225;2;58.0;0;0.0
274;7;34;58.0;0;0.0;118;7;58.0;0;0.0
34;4;35;58.0;0;0.0;78;1;55.0;3;59.0
206;24;36;58.0;0;0.0;138;12;59.0;12;56.0
163;2;37;58.0;0;0.0;103;1;57.0;1;58.0
102;6;38;57.0;0;0.0;10;4;57.0;2;59.0
304;3;39;57.0;0;0.0;65;2;54.0;1;65.0
316;10;40;57.0;1;10.0;170;9;58.0;1;48.0
47;1;41;57.0;0;0.0;150;1;57.0;0;0.0
199;14;42;57.0;0;0.0;42;8;54.0;6;61.0
254;22;43;57.0;1;5.0;154;14;53.0;8;63.0
222;24;44;57.0;1;4.0;153;11;60.0;13;54.0
35;3;45;56.0;0;0.0;77;3;56.0;0;0.0
79;3;46;56.0;0;0.0;146;3;56.0;0;0.0
259;11;47;56.0;0;0.0;33;8;56.0;3;58.0
301;6;48;56.0;0;0.0;63;3;45.0;3;68.0
90;6;49;56.0;1;17.0;189;3;49.0;3;64.0
84;6;50;56.0;1;17.0;190;3;54.0;3;58.0
271;16;51;56.0;0;0.0;48;8;57.0;8;55.0
291;11;52;55.0;0;0.0;40;4;51.0;7;58.0
186;5;53;55.0;0;0.0;96;5;55.0;0;0.0
307;6;54;55.0;0;0.0;66;6;55.0;0;0.0
200;14;55;55.0;1;7.0;164;13;56.0;1;44.0
267;23;56;55.0;0;0.0;151;12;57.0;11;52.0
105;3;57;55.0;0;0.0;72;1;47.0;2;59.0
221;6;58;55.0;1;17.0;188;5;55.0;1;52.0
3;7;59;55.0;0;0.0;57;6;53.0;1;67.0
223;11;60;54.0;0;0.0;109;8;58.0;3;45.0
294;6;61;54.0;0;0.0;36;3;57.0;3;52.0
303;15;62;54.0;1;7.0;162;9;56.0;6;52.0
207;9;63;54.0;1;11.0;176;5;60.0;4;47.0
111;18;64;54.0;4;22.0;198;14;46.0;4;82.0
92;1;65;54.0;0;0.0;60;1;54.0;0;0.0
46;1;66;54.0;0;0.0;124;1;54.0;0;0.0
217;11;67;54.0;0;0.0;1;11;54.0;0;0.0
198;13;68;54.0;0;0.0;43;10;53.0;3;57.0
210;23;69;54.0;0;0.0;3;18;54.0;5;53.0
159;10;70;54.0;0;0.0;122;8;54.0;2;52.0
171;2;71;54.0;0;0.0;59;1;47.0;1;60.0
230;8;72;54.0;1;13.0;178;7;55.0;1;42.0
273;9;73;53.0;0;0.0;50;8;53.0;1;57.0
160;2;74;53.0;0;0.0;17;2;53.0;0;0.0
124;1;75;53.0;0;0.0;25;0;0.0;1;53.0
226;2;76;53.0;0;0.0;107;2;53.0;0;0.0
96;7;77;53.0;0;0.0;110;7;53.0;0;0.0
212;9;78;53.0;1;11.0;174;6;50.0;3;59.0
21;6;79;53.0;0;0.0;15;3;53.0;3;52.0
196;14;80;53.0;1;7.0;163;12;52.0;2;57.0
2;4;81;53.0;1;25.0;206;3;51.0;1;57.0
209;6;82;53.0;0;0.0;139;4;52.0;2;53.0
306;7;83;52.0;1;14.0;181;3;68.0;4;41.0
216;11;84;52.0;1;9.0;169;9;53.0;2;51.0
112;3;85;52.0;0;0.0;52;3;52.0;0;0.0
219;12;86;52.0;0;0.0;5;8;51.0;4;54.0
135;2;87;52.0;0;0.0;7;0;0.0;2;52.0
42;1;88;52.0;0;0.0;127;1;52.0;0;0.0
224;7;89;52.0;0;0.0;13;5;53.0;2;50.0
60;15;90;52.0;0;0.0;82;9;48.0;6;57.0
211;3;91;52.0;0;0.0;4;2;51.0;1;54.0
228;7;92;52.0;0;0.0;106;6;51.0;1;54.0
415;9;93;52.0;1;11.0;175;6;50.0;3;55.0
201;20;94;52.0;2;10.0;172;16;55.0;4;37.0
147;2;95;52.0;0;0.0;44;2;52.0;0;0.0
157;8;96;51.0;0;0.0;121;4;45.0;4;58.0
314;10;97;51.0;0;0.0;115;8;49.0;2;59.0
283;17;98;51.0;1;6.0;156;10;43.0;7;62.0
213;3;99;51.0;0;0.0;2;2;53.0;1;48.0
287;1;100;51.0;0;0.0;61;0;0.0;1;51.0
264;15;101;51.0;1;7.0;160;12;48.0;3;63.0
53;22;102;51.0;0;0.0;32;17;50.0;5;53.0
313;11;103;51.0;0;0.0;94;10;51.0;1;54.0
65;3;104;51.0;0;0.0;86;1;45.0;2;54.0
295;5;105;51.0;0;0.0;37;5;51.0;0;0.0
88;5;106;51.0;0;0.0;116;5;51.0;0;0.0
76;10;107;51.0;0;0.0;141;6;49.0;4;53.0
266;2;108;51.0;0;0.0;26;1;40.0;1;61.0
114;2;109;51.0;0;0.0;79;0;0.0;2;51.0
202;14;110;51.0;0;0.0;135;8;50.0;6;51.0
41;18;111;50.0;1;6.0;155;12;53.0;6;45.0
117;5;112;50.0;0;0.0;49;5;50.0;0;0.0
56;3;113;50.0;0;0.0;31;2;53.0;1;45.0
270;5;114;50.0;0;0.0;47;5;50.0;0;0.0
78;2;115;50.0;0;0.0;147;1;47.0;1;53.0
302;6;116;50.0;0;0.0;64;3;57.0;3;43.0
29;10;117;50.0;0;0.0;19;5;45.0;5;54.0
215;18;118;50.0;2;11.0;173;15;51.0;3;43.0
191;3;119;50.0;0;0.0;100;1;52.0;2;49.0
279;8;120;50.0;2;25.0;202;7;49.0;1;55.0
320;2;121;50.0;0;0.0;131;0;0.0;2;50.0
33;16;122;49.0;1;6.0;159;14;50.0;2;48.0
70;6;123;49.0;0;0.0;145;3;46.0;3;53.0
174;8;124;49.0;0;0.0;89;4;45.0;4;54.0
97;9;125;49.0;0;0.0;85;3;57.0;6;46.0
278;15;126;49.0;1;7.0;161;9;49.0;6;50.0
225;7;127;49.0;0;0.0;108;6;51.0;1;36.0
68;24;128;49.0;4;17.0;184;17;46.0;7;57.0
299;13;129;49.0;0;0.0;35;11;51.0;2;39.0
133;5;130;49.0;2;40.0;222;5;49.0;0;0.0
120;12;131;49.0;1;8.0;167;5;48.0;7;50.0
308;11;132;49.0;3;27.0;210;8;40.0;3;72.0
300;8;133;48.0;1;13.0;177;4;42.0;4;55.0
275;5;134;48.0;0;0.0;51;4;44.0;1;67.0
9;5;135;48.0;0;0.0;133;1;42.0;4;50.0
298;6;136;48.0;0;0.0;34;6;48.0;0;0.0
30;1;137;48.0;0;0.0;74;0;0.0;1;48.0
208;7;138;48.0;1;14.0;183;5;51.0;2;41.0
189;21;139;48.0;5;24.0;200;14;45.0;7;54.0
72;3;140;48.0;0;0.0;143;2;45.0;1;53.0
293;7;141;48.0;0;0.0;38;6;47.0;1;51.0
140;17;142;47.0;1;6.0;157;10;49.0;7;45.0
167;10;143;47.0;1;10.0;171;10;47.0;0;0.0
416;15;144;47.0;2;13.0;179;12;51.0;3;33.0
66;4;145;47.0;0;0.0;87;4;47.0;0;0.0
305;14;146;47.0;2;14.0;180;10;48.0;4;45.0
240;8;147;47.0;0;0.0;68;4;46.0;4;48.0
25;4;148;47.0;0;0.0;11;4;47.0;0;0.0
118;3;149;47.0;0;0.0;55;3;47.0;0;0.0
104;5;150;47.0;0;0.0;71;4;44.0;1;61.0
247;4;151;47.0;1;25.0;203;4;47.0;0;0.0
17;4;152;47.0;0;0.0;113;3;47.0;1;46.0
205;8;153;47.0;0;0.0;136;6;49.0;2;40.0
231;5;154;46.0;0;0.0;123;5;46.0;0;0.0
252;7;155;46.0;0;0.0;80;7;46.0;0;0.0
276;13;156;46.0;1;8.0;165;3;44.0;10;47.0
28;1;157;46.0;0;0.0;18;1;46.0;0;0.0
246;3;158;46.0;1;33.0;213;1;58.0;2;40.0
176;1;159;46.0;0;0.0;81;1;46.0;0;0.0
61;2;160;46.0;0;0.0;83;1;52.0;1;40.0
152;2;161;46.0;0;0.0;119;1;53.0;1;39.0
75;6;162;46.0;0;0.0;142;5;45.0;1;49.0
74;5;163;46.0;1;20.0;195;2;41.0;3;49.0
180;4;164;46.0;0;0.0;95;3;41.0;1;60.0
194;6;165;46.0;1;17.0;187;5;47.0;1;41.0
86;3;166;46.0;0;0.0;54;2;44.0;1;49.0
261;15;167;46.0;3;20.0;192;6;48.0;9;44.0
286;6;168;46.0;1;17.0;185;3;47.0;3;44.0
40;2;169;46.0;0;0.0;129;1;39.0;1;52.0
6;3;170;45.0;0;0.0;97;3;45.0;0;0.0
177;4;171;45.0;1;25.0;204;4;45.0;0;0.0
188;4;172;45.0;0;0.0;98;3;42.0;1;55.0
67;3;173;45.0;0;0.0;88;3;45.0;0;0.0
175;4;174;45.0;1;25.0;205;4;45.0;0;0.0
49;2;175;45.0;1;50.0;226;1;33.0;1;57.0
43;1;176;45.0;0;0.0;128;1;45.0;0;0.0
234;5;177;45.0;1;20.0;194;4;41.0;1;61.0
107;9;178;45.0;2;22.0;199;7;45.0;2;43.0
44;3;179;45.0;0;0.0;126;3;45.0;0;0.0
236;13;180;44.0;1;8.0;166;5;44.0;8;45.0
26;5;181;44.0;0;0.0;12;4;45.0;1;41.0
263;15;182;44.0;3;20.0;196;8;41.0;7;48.0
290;3;183;44.0;0;0.0;39;3;44.0;0;0.0
311;4;184;44.0;1;25.0;207;4;44.0;0;0.0
148;2;185;44.0;0;0.0;140;1;42.0;1;46.0
165;7;186;44.0;0;0.0;56;7;44.0;0;0.0
19;3;187;44.0;0;0.0;114;2;41.0;1;49.0
296;9;188;44.0;2;22.0;197;6;41.0;3;50.0
289;6;189;43.0;2;33.0;211;3;42.0;3;45.0
134;10;190;43.0;2;20.0;191;7;41.0;3;48.0
317;4;191;43.0;1;25.0;201;4;43.0;0;0.0
10;12;192;43.0;3;25.0;208;8;44.0;4;41.0
