ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
195;87;1;79.0;0;0.0;65;32;76.0;55;81.0
500;4;2;79.0;0;0.0;151;3;82.0;1;69.0
203;49;3;78.0;0;0.0;208;22;76.0;27;79.0
309;76;4;77.0;0;0.0;96;35;76.0;41;78.0
242;124;5;77.0;0;0.0;108;52;72.0;72;80.0
297;117;6;77.0;0;0.0;55;56;74.0;61;78.0
173;6;7;77.0;0;0.0;86;1;62.0;5;79.0
56;3;8;76.0;0;0.0;61;2;79.0;1;71.0
287;55;9;76.0;0;0.0;31;10;70.0;45;78.0
289;38;10;76.0;0;0.0;26;8;76.0;30;76.0
295;46;11;76.0;0;0.0;57;19;74.0;27;77.0
220;63;12;76.0;0;0.0;29;28;73.0;35;78.0
241;26;13;76.0;0;0.0;106;11;77.0;15;75.0
49;3;14;75.0;0;0.0;198;1;61.0;2;82.0
13;6;15;75.0;0;0.0;170;1;68.0;5;76.0
6;5;16;74.0;0;0.0;148;2;77.0;3;73.0
192;80;17;74.0;0;0.0;72;38;71.0;42;77.0
281;51;18;74.0;0;0.0;28;19;71.0;32;75.0
268;1;19;73.0;0;0.0;41;0;0.0;1;73.0
146;10;20;73.0;0;0.0;60;6;69.0;4;78.0
230;26;21;73.0;0;0.0;194;11;68.0;15;76.0
315;41;22;72.0;0;0.0;159;19;71.0;22;73.0
226;22;23;72.0;0;0.0;163;6;72.0;16;72.0
137;7;24;72.0;0;0.0;13;1;66.0;6;73.0
98;15;25;72.0;0;0.0;157;3;66.0;12;73.0
198;56;26;72.0;0;0.0;63;24;70.0;32;73.0
199;35;27;72.0;0;0.0;62;13;66.0;22;75.0
1;27;28;71.0;0;0.0;203;6;67.0;21;73.0
294;30;29;71.0;0;0.0;56;3;63.0;27;72.0
165;17;30;71.0;0;0.0;8;10;68.0;7;75.0
255;29;31;71.0;0;0.0;139;11;69.0;18;72.0
129;5;32;71.0;0;0.0;39;3;69.0;2;74.0
71;2;33;71.0;0;0.0;220;0;0.0;2;71.0
37;8;34;71.0;0;0.0;118;2;67.0;6;72.0
124;11;35;71.0;0;0.0;229;4;67.0;7;73.0
166;4;36;71.0;0;0.0;83;0;0.0;4;71.0
216;27;37;70.0;0;0.0;1;14;70.0;13;71.0
96;29;38;70.0;0;0.0;222;11;68.0;18;72.0
206;57;39;70.0;0;0.0;213;23;70.0;34;71.0
260;25;40;70.0;0;0.0;35;16;67.0;9;76.0
174;18;41;70.0;0;0.0;137;6;60.0;12;75.0
415;20;42;70.0;0;0.0;50;8;63.0;12;75.0
152;7;43;70.0;0;0.0;182;4;65.0;3;77.0
267;54;44;70.0;0;0.0;36;14;66.0;40;71.0
4;67;45;69.0;0;0.0;27;24;67.0;43;71.0
188;15;46;69.0;0;0.0;149;8;66.0;7;74.0
207;29;47;69.0;0;0.0;212;8;68.0;21;69.0
95;14;48;69.0;0;0.0;166;4;69.0;10;69.0
61;5;49;69.0;0;0.0;127;2;69.0;3;69.0
24;7;50;69.0;0;0.0;15;0;0.0;7;69.0
213;24;51;69.0;0;0.0;5;7;72.0;17;67.0
76;30;52;69.0;0;0.0;218;9;70.0;21;68.0
190;23;53;69.0;0;0.0;156;7;65.0;16;70.0
